Cancel|Kanselleer
cancel|kanselleer
file|lêer
File|Lêer
edit|wysig
Edit|Wysig
n!|n!
ln|ln
Default|Standaard
Mark|Merk
Copy\tEnter|Kopieer\tEnter
Paste|Plak
Colors|Kleure
Co&lors|K&leure
Vendor|Verspreider
Standard|Standaard
Ounces, troy|Onse, troy
Int|Int
Select All|Selekteer Alles
File &date:|Lêer &datum:
&OK|&OK
Mod|Mod
&Newest first|&Nuutste eerste
Edit String|Wysig String
&Oldest first|&Oudste eerste
Mandatory group, |Verpligde groep, 
&Status bar|&Status balk
RET|RET
New Key #%d|Nuwe Sleutel #%d
New Value #%d|Nuwe Waarde #%d
T&ext Toolbar|Teks Gereedskapbalk
Page Setup...|Bladsy Opstelling...
 Refresh the service list.| Vervris die diens lys.
&User defined|Gebr&uiker gedefinieerd
reg: Invalid syntax. |reg: Ongeldige sintaks.
 Manage a different computer.| Bestuur 'n ander rekenaar.
Find...|Vind...
Not available|Nie beskikbaar nie
 Display items by using large icons.| Vertoon items deur groot ikone te gebruik.
 Display items by using small icons.| Vertoon items deur klein ikone te gebruik.
No route to host.\n|Geen roete na bediener.\n
Defaults|Standaarde
Name too long.\n|Naam te lank.\n
Units|Eenhede
 Display item in a list.| Vertoon item in 'n lys.
%u MB|%u MB
Supports DLS|Ondersteun DLS
Properties|Eienskappe
Default Port|Standaard Poort
Unknown Version|Onbekende Weergawe
Page up|Bladsy op
Page down|Bladsy af
Host not found.\n|Bediener nie gevind.\n
Miniature|Miniatuur
Host is down.\n|Bediener is af.\n
Action|Aksie
Ping|Ping
Se|Se
Square centimeters|Vierkante sentimeter
Mu|Mu
Warn users|Waarsku gebruikers
Display warning for|Vertoon waarskuwing vir
second(s)|sekond(es)
&Next Page|Volge&nde Bladsy
Modify|Modifiseer
&Bring To Front|&Bring Tot Voor
My Computer|My Rekenaar
Read-only|Lees-alleenlik
&Hibernate|&Hiberneer
US|US
Welcome to ReactOS Setup|Welkom by ReactOS Opstelling
Turkish F|Turks F
Turkish Q|Turks Q
Filesystem:|Lêerstelsel:
Installation folder|Installasie gids
Number:|Nommer:
Regional Options|Streeklike Opsies
Monetary:|Geldelik:
Invalid date.|Ongeldige datum.
Positive:|Positief:
Install files...|Installeer lêers...
Negative:|Negatief:
&Long date format:|&Lang datum formaat:
Sorting|Sortering
Short date:|Kort datum:
Error in color specification|Fout in kleur spesifikasie
Syntax error|Sintaks fout
Numbers|Nommers
Font Size|Skrif Grootte
&Top speed:|&Top spoed:
Accessibility|Toeganklikheid
Display Options|Vertoon Opsies
Invalid drive|Ongeldige skyf
Font|Skrif
Background|Agtergrond
Pointer speed|Wyser spoed
&Left:|&Lings:
&Properties...|Eienska&ppe...
&Red:|&Rooi:
Shift|Shift
&Green:|&Groen:
Certificates|Sertifikate
Preferences|Voorkeure
Language|Taal
&Blue:|&Blou:
YN|YN
button|button
Very Low|Baie Laag
Medium|Middelmatig
Home page|Tuis blad
Effects|Effekte
YNA|YNA
CPU 16|CPU 16
CPU 17|CPU 17
